,condition,drug name,meanNormalizedScore
113,Abnormal Uterine Bleeding,Necon 1 / 35,5.333333333333333
114,Abnormal Uterine Bleeding,Necon 1 / 50,5.666666666666667
115,Abnormal Uterine Bleeding,Nora-Be,5.333333333333333
116,Abnormal Uterine Bleeding,Norethindrone,3.98125
117,Abnormal Uterine Bleeding,Nortrel 1 / 35,10.0
118,Abnormal Uterine Bleeding,Orsythia,4.166666666666667
119,Abnormal Uterine Bleeding,Ortho Cyclen,9.0
120,Abnormal Uterine Bleeding,Ortho Micronor,5.555555555555555
121,Abnormal Uterine Bleeding,Ortho Tri-Cyclen,4.75
122,Abnormal Uterine Bleeding,Ortho Tri-Cyclen Lo,4.6
123,Abnormal Uterine Bleeding,Ortho-Novum 7 / 7 / 7,5.5
124,Abnormal Uterine Bleeding,Ovcon 35,9.5
125,Abnormal Uterine Bleeding,Portia,2.0
126,Abnormal Uterine Bleeding,Premarin,2.8333333333333335
127,Abnormal Uterine Bleeding,Previfem,5.5
128,Abnormal Uterine Bleeding,Provera,4.15625
129,Abnormal Uterine Bleeding,Quasense,3.3125
130,Abnormal Uterine Bleeding,Seasonale,5.0
131,Abnormal Uterine Bleeding,Seasonique,4.029411764705882
132,Abnormal Uterine Bleeding,Sprintec,3.792452830188679
133,Abnormal Uterine Bleeding,Sronyx,4.0
134,Abnormal Uterine Bleeding,Tri-Linyah,5.25
135,Abnormal Uterine Bleeding,Tri-Lo-Marzia,6.5
136,Abnormal Uterine Bleeding,Tri-Lo-Sprintec,2.25
137,Abnormal Uterine Bleeding,Tri-Previfem,2.8125
138,Abnormal Uterine Bleeding,Tri-Sprintec,4.827586206896552
139,Abnormal Uterine Bleeding,TriNessa,5.433333333333334
140,Abnormal Uterine Bleeding,TriNessa Lo,7.25
141,Abortion,Cytotec,6.25
142,Abortion,Mifepristone,5.0
143,Abortion,Misoprostol,6.416666666666667
144,Acetaminophen Overdose,Acetylcysteine,6.0
145,Acetaminophen Overdose,Mucomyst-10,6.0
146,Acne,Absorica,5.875
147,Acne,Acanya,6.736363636363636
148,Acne,Accutane,7.0533642691415315
149,Acne,Acnex,9.5
150,Acne,Acticlate,7.666666666666667
151,Acne,Aczone,6.779761904761905
152,Acne,Adapalene,6.623949579831932
153,Acne,Adapalene / benzoyl peroxide,6.7650822669104205
154,Acne,Adoxa,8.25
155,Acne,Aldactone,9.0
156,Acne,Altabax,6.666666666666667
157,Acne,Amnesteem,6.42
158,Acne,Atralin,7.742424242424242
159,Acne,Avar,6.5
160,Acne,Avita,9.5
161,Acne,Azelaic acid,6.854166666666667
162,Acne,Azelex,5.75
163,Acne,BP Wash,9.5
164,Acne,Bactrim,7.5606060606060606
165,Acne,Bactrim DS,6.95
166,Acne,BenzEFoam,7.125
167,Acne,BenzEFoam Ultra,10.0
168,Acne,Benzaclin,7.875
169,Acne,Benzamycin,6.916666666666667
170,Acne,Benzoyl peroxide,7.5576923076923075
171,Acne,Benzoyl peroxide / clindamycin,7.143258426966292
172,Acne,Benzoyl peroxide / erythromycin,7.293103448275862
173,Acne,Benzoyl peroxide / hydrocortisone,9.0
174,Acne,Benzoyl peroxide / salicylic acid,5.5
175,Acne,Benzoyl peroxide / sulfur,8.0
176,Acne,Beyaz,6.82
177,Acne,Cephalexin,5.666666666666667
178,Acne,Claravis,6.9787234042553195
179,Acne,Clarifoam EF,7.214285714285714
180,Acne,Clindagel,10.0
181,Acne,Clindamycin,6.856060606060606
182,Acne,Clindamycin / tretinoin,7.0
183,Acne,Cyclafem 1 / 35,4.5
184,Acne,Dapsone,6.797687861271676
185,Acne,Desquam-X Wash,10.0
186,Acne,Differin,6.857664233576642
187,Acne,Doryx,6.4326923076923075
188,Acne,Doxy 100,7.7
189,Acne,Doxycycline,6.529
190,Acne,Drospirenone / ethinyl estradiol,6.378277153558052
191,Acne,Drospirenone / ethinyl estradiol / levomefolate calcium,6.82
192,Acne,Duac,6.909375
193,Acne,Dynacin,5.5
194,Acne,Epiduo,6.753623188405797
195,Acne,Epiduo Forte,6.473684210526316
196,Acne,Ery Pads,9.0
197,Acne,Erythromycin,9.0
198,Acne,Estarylla,4.083333333333333
199,Acne,Ethinyl estradiol / norethindrone,4.337278106508876
200,Acne,Ethinyl estradiol / norgestimate,5.775925925925926
201,Acne,Fabior,7.75
202,Acne,Finacea,6.961538461538462
203,Acne,Fostex Medicated,9.5
204,Acne,Gianvi,6.916666666666667
205,Acne,Gildess Fe 1 / 20,4.954545454545454
206,Acne,Gildess Fe 1.5 / 30,6.2
207,Acne,Hexachlorophene,5.5
208,Acne,Inova 4 / 1,5.5
209,Acne,Isotretinoin,6.991935483870968
210,Acne,Junel Fe 1 / 20,5.75
211,Acne,Junel Fe 1.5 / 30,3.1666666666666665
212,Acne,Keflex,5.666666666666667
213,Acne,Loestrin 24 Fe,3.949367088607595
214,Acne,Loestrin Fe 1 / 20,3.25
215,Acne,Loryna,5.15
216,Acne,Magnesium hydroxide,8.833333333333334
217,Acne,Microgestin Fe 1 / 20,5.026315789473684
218,Acne,Microgestin Fe 1.5 / 30,4.7
219,Acne,Milk of Magnesia,8.0
220,Acne,Minocin,5.7
221,Acne,Minocycline,5.626126126126126
222,Acne,Monodox,7.086206896551724
223,Acne,Myorisan,7.5
224,Acne,Necon 1 / 35,7.5
225,Acne,Necon 7 / 7 / 7,4.25
226,Acne,Norinyl 1+35,6.5
227,Acne,Nortrel 1 / 35,2.5
228,Acne,NuOx,8.0
229,Acne,Ocella,6.96875
230,Acne,Onexton,7.21875
231,Acne,Ortho Tri-Cyclen,5.542553191489362
232,Acne,Ortho-Novum 1 / 35,7.25
233,Acne,Oxy-10,10.0
234,Acne,PanOxyl,8.3
235,Acne,PanOxyl 10% Acne Foaming Wash,9.5
236,Acne,Pernox,9.5
237,Acne,Phillips' Milk of Magnesia,8.5
238,Acne,Resorcinol / sulfur,10.0
239,Acne,Retapamulin,6.666666666666667
240,Acne,Retin A Micro,9.0
241,Acne,Retin-A,7.535714285714286
242,Acne,SMZ-TMP DS,5.666666666666667
243,Acne,Salicylic acid,5.25
244,Acne,Salicylic acid / sulfur,9.5
245,Acne,Septra,7.75
246,Acne,Solodyn,6.125
247,Acne,Sotret,7.0
248,Acne,Spironolactone,6.773109243697479
249,Acne,Sulfacetamide sodium / sulfur,7.434782608695652
250,Acne,Sulfamethoxazole / trimethoprim,7.144
251,Acne,Sulfur,10.0
252,Acne,Sumadan,9.0
253,Acne,Tazarotene,8.0
254,Acne,Tazorac,8.05
255,Acne,Tetracycline,6.8
256,Acne,Tretin-X,5.75
257,Acne,Tretinoin,7.046052631578948
258,Acne,Tri-Estarylla,1.75
259,Acne,Tri-Linyah,5.75
260,Acne,Tri-Previfem,5.620689655172414
261,Acne,Tri-Sprintec,5.969512195121951
262,Acne,TriNessa,6.162337662337662
263,Acne,TriNessa Lo,6.5
264,Acne,Vanoxide-HC,9.0
265,Acne,Veltin,7.0
266,Acne,Vestura,9.0
267,Acne,Vibramycin,5.333333333333333
268,Acne,Yasmin,6.119318181818182
269,Acne,Yaz,6.588235294117647
270,Acne,Zenatane,6.722222222222222
271,Acne,Ziana,7.007692307692308
272,Acne,femhrt,3.75
273,Actinic Keratosis,Carac,7.625
274,Actinic Keratosis,Efudex,6.625
275,Actinic Keratosis,Fluorouracil,6.25
276,Actinic Keratosis,Ingenol,6.0
277,Actinic Keratosis,Picato,6.0
278,Actinic Keratosis,Tolak,5.333333333333333
279,Acute Coronary Syndrome,Brilinta,4.5
280,Acute Coronary Syndrome,Clopidogrel,6.0
281,Acute Coronary Syndrome,Effient,7.115384615384615
282,Acute Coronary Syndrome,Plavix,6.0
283,Acute Coronary Syndrome,Prasugrel,7.115384615384615
284,Acute Coronary Syndrome,Ticagrelor,4.525
285,Acute Lymphoblastic Leukemia,Dasatinib,5.5
286,Acute Lymphoblastic Leukemia,Gleevec,10.0
287,Acute Lymphoblastic Leukemia,Iclusig,5.5
288,Acute Lymphoblastic Leukemia,Imatinib,10.0
289,Acute Lymphoblastic Leukemia,Ponatinib,5.5
290,Acute Lymphoblastic Leukemia,Sprycel,5.5
291,Acute Nonlymphocytic Leukemia,Accutane,6.0
292,Acute Nonlymphocytic Leukemia,Isotretinoin,6.0
293,Acute Promyelocytic Leukemia,Arsenic trioxide,6.0
294,Acute Promyelocytic Leukemia,Tretinoin,6.0
295,Acute Promyelocytic Leukemia,Vesanoid,5.5
296,Addison's Disease,Decadron,8.0
297,Addison's Disease,Dexamethasone,7.25
298,Addison's Disease,Florinef Acetate,10.0
299,Addison's Disease,Fludrocortisone,9.5
300,Addison's Disease,Hydrocortisone,6.5
301,Addison's Disease,Hydrocortone,6.75
302,Adrenocortical Insufficiency,Cortef,5.833333333333333
303,Adrenocortical Insufficiency,Hydrocortisone,5.0
304,Adrenocortical Insufficiency,Prednisone,4.0
305,Adult Human Growth Hormone Deficiency,Humatrope,6.5
306,Adult Human Growth Hormone Deficiency,Norditropin,6.5
307,Adult Human Growth Hormone Deficiency,Omnitrope,10.0
308,Adult Human Growth Hormone Deficiency,Saizen,9.5
309,Adult Human Growth Hormone Deficiency,Somatropin,8.166666666666666
310,Agitated State,Abilify,6.0
311,Agitated State,Aripiprazole,6.104166666666667
312,Agitation,Citalopram,6.5
313,Agitation,Loxapine,4.0
314,Agitation,Olanzapine,6.5
315,Agitation,Risperidone,3.8333333333333335
316,Agitation,Zyprexa Intramuscular,5.5
317,Alcohol Dependence,Acamprosate,7.321678321678322
318,Alcohol Dependence,Antabuse,7.244897959183674
319,Alcohol Dependence,Campral,7.512295081967213
320,Alcohol Dependence,Disulfiram,7.008196721311475
321,Alcohol Dependence,Naltrexone,7.237704918032787
322,Alcohol Dependence,Ondansetron,5.0
323,Alcohol Dependence,Revia,7.8
324,Alcohol Dependence,Vivitrol,8.0
325,Alcohol Withdrawal,Atenolol,5.0
326,Alcohol Withdrawal,Baclofen,7.055555555555555
327,Alcohol Withdrawal,Catapres,9.0
328,Alcohol Withdrawal,Chlordiazepoxide,7.640449438202247
329,Alcohol Withdrawal,Clonidine,6.666666666666667
330,Alcohol Withdrawal,Clorazepate,6.5
331,Alcohol Withdrawal,Diazepam,8.0
332,Alcohol Withdrawal,Gabapentin,7.166666666666667
333,Alcohol Withdrawal,Librium,7.6625
334,Alcohol Withdrawal,Lioresal,7.25
335,Alcohol Withdrawal,Neurontin,7.5
336,Alcohol Withdrawal,Oxazepam,7.833333333333333
337,Alcohol Withdrawal,Serax,8.75
338,Alcohol Withdrawal,Tranxene,6.5
339,Alcohol Withdrawal,Valium,8.0
340,Allergic Reactions,Aristocort,6.0
341,Allergic Reactions,Benadryl,7.05
342,Allergic Reactions,Benadryl Allergy,7.05
343,Allergic Reactions,Chlor-Trimeton,6.25
344,Allergic Reactions,Chlorpheniramine,7.166666666666667
345,Allergic Reactions,Cyproheptadine,8.5
346,Allergic Reactions,Deltasone,9.5
347,Allergic Reactions,Dexchlorpheniramine,7.75
348,Allergic Reactions,Diphenhydramine,6.9
349,Allergic Reactions,EpiPen,9.5
350,Allergic Reactions,Epinephrine,8.25
351,Allergic Reactions,Loratadine,6.5
352,Allergic Reactions,Phenergan,5.833333333333333
353,Allergic Reactions,Prednisone,5.653846153846154
354,Allergic Reactions,Promethazine,5.6
355,Allergic Reactions,Q-Dryl,5.5
356,Allergic Reactions,Triamcinolone,6.125
357,Allergic Rhinitis,Acetaminophen / dexbrompheniramine / pseudoephedrine,6.5
358,Allergic Rhinitis,Acrivastine / pseudoephedrine,9.5
359,Allergic Rhinitis,Actifed,5.0
360,Allergic Rhinitis,Alahist LQ,6.5
361,Allergic Rhinitis,Alavert D-12 Hour Allergy and Sinus,1.0
362,Allergic Rhinitis,All Day Allergy,9.0
363,Allergic Rhinitis,Allegra,6.0625
364,Allergic Rhinitis,Allegra Allergy,2.8333333333333335
365,Allergic Rhinitis,Allegra ODT,6.5
366,Allergic Rhinitis,Allegra-D 12 Hour,6.928571428571429
367,Allergic Rhinitis,Allegra-D 24 Hour,6.625
368,Allergic Rhinitis,Astelin,8.136363636363637
369,Allergic Rhinitis,Astepro,6.84375
370,Allergic Rhinitis,Azelastine,6.454545454545454
371,Allergic Rhinitis,Azelastine / fluticasone,5.6461538461538465
372,Allergic Rhinitis,Beclomethasone,6.230769230769231
373,Allergic Rhinitis,Beconase AQ,5.5
374,Allergic Rhinitis,Benadryl,5.611111111111111
375,Allergic Rhinitis,Benadryl Allergy,8.0
376,Allergic Rhinitis,Benadryl Allergy Sinus,8.5
377,Allergic Rhinitis,Brompheniramine,6.25
378,Allergic Rhinitis,Brompheniramine / pseudoephedrine,6.5
379,Allergic Rhinitis,Budesonide,6.0625
380,Allergic Rhinitis,Carbinoxamine,8.333333333333334
381,Allergic Rhinitis,Cetirizine,5.957894736842105
382,Allergic Rhinitis,Cetirizine / pseudoephedrine,7.166666666666667
383,Allergic Rhinitis,Children's Claritin Allergy,8.0
384,Allergic Rhinitis,Chlor-Trimeton,7.166666666666667
385,Allergic Rhinitis,Chlorpheniramine,7.625
386,Allergic Rhinitis,Chlorpheniramine / methscopolamine / pseudoephedrine,5.5
387,Allergic Rhinitis,Chlorpheniramine / phenylephrine,7.25
388,Allergic Rhinitis,Chlorpheniramine / pseudoephedrine,6.285714285714286
389,Allergic Rhinitis,Ciclesonide,6.3125
390,Allergic Rhinitis,Clarinex,6.5
391,Allergic Rhinitis,Clarinex-D 12 Hour,5.5
392,Allergic Rhinitis,Claritin,3.875
393,Allergic Rhinitis,Claritin-D,4.833333333333333
394,Allergic Rhinitis,Claritin-D 12 Hour,1.5
395,Allergic Rhinitis,Claritin-D 24 Hour,7.5
396,Allergic Rhinitis,Clemastine,6.5
397,Allergic Rhinitis,Cyproheptadine,6.5
398,Allergic Rhinitis,Decadron,6.5
399,Allergic Rhinitis,Deconamine,6.5
400,Allergic Rhinitis,Desloratadine,5.666666666666667
401,Allergic Rhinitis,Desloratadine / pseudoephedrine,5.5
402,Allergic Rhinitis,Dexamethasone,6.5
403,Allergic Rhinitis,Dexbrompheniramine / pseudoephedrine,7.722222222222222
404,Allergic Rhinitis,Dexchlorpheniramine,4.25
405,Allergic Rhinitis,Diphenhydramine,5.961538461538462
406,Allergic Rhinitis,Diphenhydramine / phenylephrine,6.5
407,Allergic Rhinitis,Diphenhydramine / pseudoephedrine,8.5
408,Allergic Rhinitis,Drixoral Cold / Flu,6.5
409,Allergic Rhinitis,Drixoral Cold and Allergy,7.71875
410,Allergic Rhinitis,Dymista,5.6461538461538465
411,Allergic Rhinitis,Fexofenadine,5.533333333333333
412,Allergic Rhinitis,Fexofenadine / pseudoephedrine,6.183333333333334
413,Allergic Rhinitis,Flonase,5.585714285714285
414,Allergic Rhinitis,Flonase Sensimist,3.0
415,Allergic Rhinitis,Flunisolide,7.25
416,Allergic Rhinitis,Fluticasone,5.4907407407407405
417,Allergic Rhinitis,Kenalog-40,7.0
418,Allergic Rhinitis,Levocetirizine,6.870967741935484
419,Allergic Rhinitis,Loratadine,5.317073170731708
420,Allergic Rhinitis,Loratadine / pseudoephedrine,4.6923076923076925
421,Allergic Rhinitis,Medrol Dosepak,4.75
422,Allergic Rhinitis,Methylprednisolone,4.923076923076923
423,Allergic Rhinitis,Mometasone,5.911764705882353
424,Allergic Rhinitis,Montelukast,4.912790697674419
425,Allergic Rhinitis,Nasacort,5.0625
426,Allergic Rhinitis,Nasacort AQ,8.5
427,Allergic Rhinitis,Nasacort Allergy 24HR,4.8125
428,Allergic Rhinitis,Nasarel,6.0
429,Allergic Rhinitis,Nasonex,5.8
430,Allergic Rhinitis,Olopatadine,6.454545454545454
431,Allergic Rhinitis,Omnaris,6.3125
432,Allergic Rhinitis,Palgic,9.25
433,Allergic Rhinitis,Patanase,6.454545454545454
434,Allergic Rhinitis,Phenergan,8.5
435,Allergic Rhinitis,Prednisone,2.0
436,Allergic Rhinitis,Promethazine,7.5
437,Allergic Rhinitis,Pseudoephedrine / triprolidine,5.375
438,Allergic Rhinitis,QNASL,7.333333333333333
439,Allergic Rhinitis,R-Tanna,6.5
440,Allergic Rhinitis,Rhinocort,7.166666666666667
441,Allergic Rhinitis,Rhinocort Aqua,5.125
442,Allergic Rhinitis,Rynatan,6.5
443,Allergic Rhinitis,Semprex-D,9.5
444,Allergic Rhinitis,Singulair,5.571428571428571
445,Allergic Rhinitis,Triamcinolone,5.3545454545454545
446,Allergic Rhinitis,Veramyst,7.0
447,Allergic Rhinitis,Wal-finate,9.0
448,Allergic Rhinitis,Xyzal,6.851851851851852
449,Allergic Rhinitis,Zyrtec,5.84375
450,Allergic Rhinitis,Zyrtec-D,7.5
451,Allergic Rhinitis,Zyrtec-D 12 Hour,6.5
452,Allergic Urticaria,Atarax,4.666666666666667
453,Allergic Urticaria,Famotidine,6.5
454,Allergic Urticaria,Hydroxyzine,4.9523809523809526
455,Allergic Urticaria,Vistaril,6.25
456,Allergies,Acthar,8.5
457,Allergies,Atarax,7.818181818181818
458,Allergies,Corticotropin,8.5
459,Allergies,Hydroxyzine,7.839285714285714
460,Allergies,Hyzine,5.5
461,Allergies,Levocetirizine,5.041237113402062
462,Allergies,Triprolidine,9.5
463,Allergies,Vistaril,8.5
464,Allergies,Xyzal,4.883720930232558
465,Allergies,Zymine,9.5
466,Alopecia,Aldactone,9.0
467,Alopecia,Kenalog-10,7.4375
468,Alopecia,Minoxidil,5.843283582089552
469,Alopecia,Rogaine,5.366666666666666
470,Alopecia,Rogaine Men's Extra Strength,9.5
471,Alopecia,Rogaine Women's,7.4
472,Alopecia,Spironolactone,6.277777777777778
473,Alopecia,Triamcinolone,7.1
474,Alpha-1 Proteinase Inhibitor Deficiency,Alpha 1-proteinase inhibitor,7.166666666666667
475,Alpha-1 Proteinase Inhibitor Deficiency,Prolastin-C,5.5
476,Alpha-1 Proteinase Inhibitor Deficiency,Zemaira,8.0
477,Alzheimer's Disease,Aricept,5.638888888888889
478,Alzheimer's Disease,Aricept ODT,6.0
479,Alzheimer's Disease,Donepezil,4.703125
480,Alzheimer's Disease,Exelon,5.625
481,Alzheimer's Disease,Galantamine,5.625
482,Alzheimer's Disease,Memantine,4.4411764705882355
483,Alzheimer's Disease,Namenda,3.75
484,Alzheimer's Disease,Namenda XR,5.0
485,Alzheimer's Disease,Razadyne ER,6.0
486,Alzheimer's Disease,Rivastigmine,5.28125
487,Amebiasis,Metronidazole,2.875
488,Amebiasis,Tinidazole,4.75
489,Amenorrhea,Depo-Provera,6.083333333333333
490,Amenorrhea,Jolivette,5.0
491,Amenorrhea,Medroxyprogesterone,6.211864406779661
492,Amenorrhea,Norethindrone,5.916666666666667
493,Amenorrhea,Progesterone,5.5
494,Amenorrhea,Prometrium,5.5
495,Amenorrhea,Provera,6.15
496,Anal Fissure and Fistula,Nitroglycerin,6.5
497,Anal Fissure and Fistula,Rectiv,6.642857142857143
498,Anal Itching,Boudreaux Butt Paste,5.5
499,Anal Itching,Clobetasol,5.5
500,Anal Itching,Dibucaine,10.0
501,Anal Itching,Hydrocortisone,8.5
502,Anal Itching,Pramoxine,6.5
503,Anal Itching,Sarna Sensitive,6.5
504,Anal Itching,Zinc oxide,5.5
505,Anaphylaxis,EpiPen,9.5
506,Anaphylaxis,Epinephrine,9.5
507,Anaplastic Astrocytoma,Temodar,5.0
508,Anaplastic Astrocytoma,Temozolomide,5.0
509,Anaplastic Oligodendroglioma,Temodar,7.5
510,Anaplastic Oligodendroglioma,Temozolomide,7.166666666666667
511,Androgenetic Alopecia,Finasteride,5.083333333333333
512,Androgenetic Alopecia,Propecia,5.045454545454546
513,Anemia,Epoetin alfa,3.375
514,Anemia,Epogen,6.0
515,Anemia,Ferralet 90,6.5
516,Anemia,Integra,6.5
517,Anemia,Integra F,6.0
518,Anemia,Maxaron Forte,4.666666666666667
519,Anemia,Multivitamin with iron,6.230769230769231
520,Anemia,Oxymetholone,6.5
521,Anemia,Procrit,2.5
522,Anemia Associated with Chronic Renal Failure,Aranesp,6.5
523,Anemia Associated with Chronic Renal Failure,Darbepoetin alfa,6.5
524,Anemia Associated with Chronic Renal Failure,Epoetin alfa,5.75
525,Anemia Associated with Chronic Renal Failure,Epogen,5.5
526,Anemia Associated with Chronic Renal Failure,Feosol Original,6.0
527,Anemia Associated with Chronic Renal Failure,Ferrlecit,4.0
528,Anemia Associated with Chronic Renal Failure,Ferrous sulfate,6.0
529,Anemia Associated with Chronic Renal Failure,Procrit,6.0
530,Anemia Associated with Chronic Renal Failure,Sodium ferric gluconate complex,4.0
531,"Anemia, Chemotherapy Induced",Aranesp,6.5
532,"Anemia, Chemotherapy Induced",Darbepoetin alfa,6.5
533,"Anemia, Chemotherapy Induced",Epoetin alfa,9.5
534,"Anemia, Chemotherapy Induced",Procrit,9.5
535,"Anemia, Sickle Cell",Hydrea,5.0
536,"Anemia, Sickle Cell",Hydroxyurea,5.4
537,Anesthesia,Butorphanol,4.0
538,Anesthesia,Diprivan,7.0
539,Anesthesia,Emla,7.0
540,Anesthesia,Fentanyl,4.25
541,Anesthesia,Ketalar,9.0
542,Anesthesia,Ketamine,3.9583333333333335
543,Anesthesia,LMX 4,2.0
544,Anesthesia,Lidocaine,3.25
545,Anesthesia,Lidocaine / prilocaine,7.5625
546,Anesthesia,Lidoderm,5.0
547,Anesthesia,Oraqix,10.0
548,Anesthesia,Pentothal,8.5
549,Anesthesia,Propofol,6.843511450381679
550,Anesthesia,Rocuronium,7.0
551,Anesthesia,Sublimaze,2.0
552,Anesthesia,Succinylcholine,2.388888888888889
553,Anesthesia,Thiopental,8.5
554,Anesthetic Adjunct,Dilaudid-HP,6.25
555,Anesthetic Adjunct,Hydromorphone,6.25
556,Angina,Aspirin,6.5
557,Angina,Atenolol,6.0
558,Angina,Carvedilol,4.0
559,Angina,Corgard,6.5
560,Angina,Enoxaparin,6.5
561,Angina,Imdur,7.5
562,Angina,Isosorbide dinitrate,6.0
